M	P	NP	Time
160	160	3	0.000745
160	160	3	0.000592
160	160	3	0.000747
160	160	3	0.000839
160	160	3	0.000704
160	160	3	0.000612
160	160	3	0.000931
160	160	4	0.000866
160	160	4	0.000932
160	160	4	0.001730
160	160	4	0.001072
160	160	4	0.000897
160	160	4	0.001154
160	160	4	0.001607
160	160	4	0.000938
160	160	4	0.001320
160	160	4	0.001120
160	160	5	0.001256
160	160	5	0.002059
160	160	5	0.001863
160	160	5	0.001278
160	160	5	0.002255
160	160	5	0.002155
160	160	5	0.001542
160	160	5	0.001234
160	160	5	0.002112
160	160	5	0.001254
160	160	6	0.001564
160	160	6	0.001714
160	160	6	0.001515
160	160	6	0.001660
160	160	6	0.002271
160	160	6	0.001384
160	160	6	0.001471
160	160	6	0.001609
160	160	6	0.001602
160	160	6	0.002403
160	160	7	0.002586
160	160	7	0.002295
160	160	7	0.001912
160	160	7	0.001748
160	160	7	0.002542
160	160	7	0.001924
160	160	7	0.002450
160	160	7	0.002100
160	160	7	0.001775
160	160	7	0.001776
160	160	8	0.002381
160	160	8	0.002294
160	160	8	0.002336
160	160	8	0.002045
160	160	8	0.002332
160	160	8	0.003141
160	160	8	0.002081
160	160	8	0.002569
160	160	8	0.002341
160	160	8	0.002444
160	160	9	0.001866
160	160	9	0.002845
160	160	9	0.002793
160	160	9	0.002383
160	160	9	0.003010
160	160	9	0.002294
160	160	9	0.002203
160	160	9	0.002835
160	160	9	0.002931
160	160	9	0.002524
160	160	10	0.002501
160	160	10	0.002752
160	160	10	0.002342
160	160	10	0.002556
160	160	10	0.003045
160	160	10	0.002110
160	160	10	0.002694
160	160	10	0.001967
160	160	10	0.003564
160	160	10	0.002338
160	160	11	0.002859
160	160	11	0.002355
160	160	11	0.003349
160	160	11	0.002461
160	160	11	0.002591
160	160	11	0.002748
160	160	11	0.003865
160	160	11	0.003604
160	160	11	0.002620
160	160	11	0.003566
160	160	12	0.003244
160	160	12	0.003430
160	160	12	0.002776
160	160	12	0.002592
160	160	12	0.002592
160	160	12	0.003594
160	160	12	0.003736
160	160	12	0.003742
160	160	12	0.002705
160	160	12	0.002808
160	160	13	0.002692
160	160	13	0.002707
160	160	13	0.002963
160	160	13	0.002836
160	160	13	0.004200
160	160	13	0.002719
160	160	13	0.002764
160	160	13	0.003479
160	160	13	0.004726
160	160	13	0.002619
160	160	14	0.003204
160	160	14	0.003773
160	160	14	0.003321
160	160	14	0.004777
160	160	14	0.003103
160	160	14	0.003132
160	160	14	0.003037
160	160	14	0.003478
160	160	14	0.003193
160	160	14	0.002880
160	160	15	0.002947
160	160	15	0.003906
160	160	15	0.003107
160	160	15	0.002996
160	160	15	0.003426
160	160	15	0.003944
160	160	15	0.003421
160	160	15	0.003106
160	160	15	0.003462
160	160	15	0.003387
160	160	16	0.003830
160	160	16	0.003636
160	160	16	0.003231
160	160	16	0.005021
160	160	16	0.003666
160	160	16	0.003460
160	160	16	0.003666
160	160	16	0.006304
160	160	16	0.004891
160	160	16	0.003927
160	1600	1	0.005348
160	1600	1	0.005651
160	1600	1	0.005663
160	1600	1	0.006150
160	1600	1	0.005825
160	1600	1	0.005414
160	1600	1	0.005504
160	1600	1	0.005928
160	1600	1	0.005389
160	1600	1	0.005860
160	1600	2	0.003560
160	1600	2	0.004035
160	1600	2	0.004891
160	1600	2	0.003913
