M	P	NP	Time
1600	16	4	0.000749
1600	16	4	0.000584
1600	16	4	0.000543
1600	16	4	0.001121
1600	16	4	0.001202
1600	16	4	0.000557
1600	16	5	0.000753
1600	16	5	0.001436
1600	16	5	0.001430
1600	16	5	0.001778
1600	16	5	0.000806
1600	16	5	0.000916
1600	16	5	0.000950
1600	16	5	0.001599
1600	16	5	0.000746
1600	16	5	0.000899
1600	16	6	0.000859
1600	16	6	0.001799
1600	16	6	0.001381
1600	16	6	0.000901
1600	16	6	0.001025
1600	16	6	0.001266
1600	16	6	0.001206
1600	16	6	0.001495
1600	16	6	0.001533
1600	16	6	0.001639
1600	16	7	0.001222
1600	16	7	0.001068
1600	16	7	0.000783
1600	16	7	0.001884
1600	16	7	0.001496
1600	16	7	0.001625
1600	16	7	0.001366
1600	16	7	0.000749
1600	16	7	0.001520
1600	16	7	0.001116
1600	16	8	0.001353
1600	16	8	0.002784
1600	16	8	0.001044
1600	16	8	0.001425
1600	16	8	0.001619
1600	16	8	0.000933
1600	16	8	0.002117
1600	16	8	0.001559
1600	16	8	0.002429
1600	16	8	0.001287
1600	16	9	0.002342
1600	16	9	0.002111
1600	16	9	0.001565
1600	16	9	0.001414
1600	16	9	0.001710
1600	16	9	0.001896
1600	16	9	0.001582
1600	16	9	0.001026
1600	16	9	0.002628
1600	16	9	0.002073
1600	16	10	0.001511
1600	16	10	0.001529
1600	16	10	0.002614
1600	16	10	0.002067
1600	16	10	0.001155
1600	16	10	0.002025
1600	16	10	0.001888
1600	16	10	0.001763
1600	16	10	0.002480
1600	16	10	0.002560
1600	16	11	0.001603
1600	16	11	0.001737
1600	16	11	0.001638
1600	16	11	0.001434
1600	16	11	0.001390
1600	16	11	0.003150
1600	16	11	0.002523
1600	16	11	0.002293
1600	16	11	0.001467
1600	16	11	0.001474
1600	16	12	0.001486
1600	16	12	0.001329
1600	16	12	0.002010
1600	16	12	0.002762
1600	16	12	0.001638
1600	16	12	0.002840
1600	16	12	0.003329
1600	16	12	0.001474
1600	16	12	0.002308
1600	16	12	0.001901
1600	16	13	0.003337
1600	16	13	0.001522
1600	16	13	0.002123
1600	16	13	0.002861
1600	16	13	0.003096
1600	16	13	0.002858
1600	16	13	0.004073
1600	16	13	0.002332
1600	16	13	0.002110
1600	16	13	0.004308
1600	16	14	0.001791
1600	16	14	0.002116
1600	16	14	0.003113
1600	16	14	0.002774
1600	16	14	0.002007
1600	16	14	0.002791
1600	16	14	0.002268
1600	16	14	0.002598
1600	16	14	0.002041
1600	16	14	0.002223
1600	16	15	0.003737
1600	16	15	0.004078
1600	16	15	0.003450
1600	16	15	0.001779
1600	16	15	0.004441
1600	16	15	0.004697
1600	16	15	0.001827
1600	16	15	0.003783
1600	16	15	0.003062
1600	16	15	0.002385
1600	16	16	0.007574
1600	16	16	0.004239
1600	16	16	0.003465
1600	16	16	0.003427
1600	16	16	0.004205
1600	16	16	0.004349
1600	16	16	0.004752
1600	16	16	0.003564
1600	16	16	0.003311
1600	16	16	0.005429
1600	160	1	0.004093
1600	160	1	0.003943
1600	160	1	0.004191
1600	160	1	0.004025
1600	160	1	0.004099
1600	160	1	0.003969
1600	160	1	0.004117
1600	160	1	0.003984
1600	160	1	0.004571
1600	160	1	0.004875
1600	160	2	0.002418
1600	160	2	0.004527
1600	160	2	0.002445
1600	160	2	0.002358
1600	160	2	0.002519
1600	160	2	0.002333
1600	160	2	0.002402
1600	160	2	0.002378
1600	160	2	0.002429
1600	160	2	0.002385
1600	160	3	0.001697
1600	160	3	0.001875
1600	160	3	0.001776
1600	160	3	0.002036
1600	160	3	0.002308
1600	160	3	0.002251
1600	160	3	0.002102
1600	160	3	0.001938
1600	160	3	0.002041
1600	160	3	0.003083
1600	160	4	0.002826
1600	160	4	0.002042
1600	160	4	0.002427
1600	160	4	0.001993
1600	160	4	0.002787
1600	160	4	0.001703
1600	160	4	0.001850
1600	160	4	0.002155
1600	160	4	0.001953
1600	160	4	0.001998
1600	160	5	0.002787
1600	160	5	0.001629
1600	160	5	0.001839
1600	160	5	0.001960
1600	160	5	0.001566
1600	160	5	0.002076
1600	160	5	0.002633
1600	160	5	0.001700
1600	160	5	0.002156
1600	160	5	0.002358
1600	160	6	0.002169
1600	160	6	0.002260
1600	160	6	0.002695
1600	160	6	0.002780
1600	160	6	0.002104
1600	160	6	0.002200
1600	160	6	0.003281
1600	160	6	0.001688
1600	160	6	0.002228
1600	160	6	0.002072
1600	160	7	0.002367
1600	160	7	0.003488
1600	160	7	0.002521
1600	160	7	0.002856
1600	160	7	0.002233
1600	160	7	0.001958
1600	160	7	0.002667
1600	160	7	0.003013
1600	160	7	0.002012
1600	160	7	0.002524
1600	160	8	0.002123
1600	160	8	0.002547
1600	160	8	0.003134
1600	160	8	0.002232
1600	160	8	0.003592
1600	160	8	0.001986
1600	160	8	0.003941
1600	160	8	0.002385
1600	160	8	0.002316
1600	160	8	0.014952
1600	160	9	0.002638
1600	160	9	0.002041
1600	160	9	0.002219
1600	160	9	0.003078
1600	160	9	0.002867
1600	160	9	0.002544
1600	160	9	0.002412
1600	160	9	0.002461
1600	160	9	0.003282
1600	160	9	0.003525
1600	160	10	0.002304
1600	160	10	0.003371
1600	160	10	0.002511
1600	160	10	0.002349
1600	160	10	0.012192
1600	160	10	0.003978
